country_a,country_b,probability,news_negativity,news_intensity,escalation_keywords,contiguity,distance_closeness,common_language,both_in_nato,mil_exp_mean,ucdp_recent_interstate,bias,w_news_negativity,w_news_intensity,w_escalation_keywords,w_contiguity,w_distance_closeness,w_common_language,w_both_in_nato,w_mil_exp_mean,w_ucdp_recent_interstate
Afghanistan,Albania,0.10308083473849883,0.0,0.0,0.0,0.0,0.11405682384434508,0.0,0.0,0.4749697282608545,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Algeria,0.11637239910855889,0.0,0.0,0.0,0.0,0.05321749943362964,0.0,0.0,0.8047026184714984,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Armenia,0.11725617990121705,0.0,0.0,0.0,0.0,0.32204145483520313,0.0,0.0,0.7042617510460691,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Azerbaijan,0.11774469560013728,0.0,0.0,0.0,0.0,0.40207827314523886,0.0,0.0,0.6791590097311447,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Bahrain,0.11091680885087063,0.0,0.0,0.0,0.0,0.36706475586271753,0.0,0.0,0.5448370885637938,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Belarus,0.1037597139990565,0.0,0.0,0.0,0.0,0.1436392975481456,0.0,0.0,0.47809193502758274,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Belgium,0.09931389644965694,0.0,0.0,0.0,0.0,0.06666598007701623,0.0,0.0,0.4039899981750341,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Bosnia and Herzegovina,0.09786928843212682,0.0,0.0,0.0,0.0,0.10922918385032694,0.0,0.0,0.3489500833106808,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Bulgaria,0.10382601105316729,0.0,0.0,0.0,0.0,0.13245629990414534,0.0,0.0,0.4846459762748897,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Canada,0.09835092379261354,0.0,0.0,0.0,0.0,0.004587385614872715,0.0,0.0,0.40755348218275955,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
